Jahr,Lebendgeborene (Anzahl) Insgesamt
1950.0,1116701.0
1951.0,1106380.0
1953.0,1095029.0
1954.0,1109743.0
1955.0,1113408.0
1956.0,1137169.0
1957.0,1165555.0
1958.0,1175870.0
1959.0,1243922.0
1960.0,1261614.0
1961.0,1313505.0
1962.0,1316534.0
1963.0,1355595.0
1964.0,1357304.0
1965.0,1325386.0
,
1967.0,1272276.0
1968.0,1214968.0
1969.0,1142366.0
1970.0,1047737.0
1971.0,1013396.0
1973.0,815969.0
1974.0,805500.0
1975.0,782310.0
1976.0,798334.0
1977.0,805496.0
1978.0,808619.0
1979.0,817217.0
1980.0,865789.0
1982.0,861275.0
1984.0,812292.0
1985.0,813803.0
1986.0,848232.0
1987.0,867969.0
1988.0,892993.0
1989.0,880459.0
1990.0,905675.0
1991.0,830019.0
1992.0,809114.0
1993.0,798447.0
1994.0,769603.0
1995.0,765221.0
1996.0,796013.0
1997.0,812173.0
1998.0,785034.0
1999.0,770744.0
2001.0,734475.0
2002.0,719250.0
2003.0,706721.0
2004.0,705622.0
2005.0,685795.0
2006.0,672724.0
2007.0,684862.0
2008.0,682514.0
,
2010.0,677947.0
,
2012.0,673544.0
2013.0,682069.0
2015.0,737575.0
2016.0,792141.0
2017.0,784901.0
2018.0,787523.0
2019.0,778090.0
2021.0,795492.0
2022.0,738819.0
