Time (s),Absolute acceleration (m/s^2)
0.045,0.969
0.062,0.953
0.079,1.052
0.095,1.323
0.112,1.149
0.129,0.704
0.146,0.763
0.163,0.676
0.180,0.654
0.196,0.777
0.213,0.940
0.230,1.043
0.247,1.007
0.264,0.922
0.281,0.980
0.297,1.105
0.314,1.084
0.331,0.832
0.348,0.805
0.365,0.943
0.382,1.074
0.399,1.135
0.415,0.983
0.432,0.929
0.449,0.962
0.466,0.927
0.483,0.945
0.500,1.968
0.516,1.933
0.533,2.207
0.550,2.482
0.567,2.745
0.584,3.017
0.601,3.282
0.617,3.439
0.634,3.487
0.651,3.427
0.668,3.263
0.685,3.167
0.702,3.013
0.718,2.789
0.735,2.538
0.752,2.284
0.769,1.944
0.786,1.619
0.803,1.428
0.820,1.135
0.836,0.747
0.853,0.335
0.870,0.266
0.887,0.576
0.904,0.870
0.921,1.105
0.937,1.272
0.954,1.358
0.971,1.407
0.988,1.564
1.005,1.699
1.022,1.687
1.038,1.622
1.055,1.466
1.072,1.251
1.089,1.087
1.106,0.878
1.123,0.718
1.139,0.621
1.156,0.525
1.173,0.463
1.190,0.490
1.207,0.571
1.224,0.787
1.240,1.169
1.257,1.565
1.274,1.900
1.291,2.195
1.308,2.485
1.325,2.625
1.342,2.784
1.358,3.001
1.375,3.214
1.392,3.289
1.409,3.239
1.426,3.117
1.443,3.052
1.459,3.158
1.476,3.307
1.493,3.256
1.510,3.145
1.527,3.090
1.544,2.987
1.560,2.980
1.577,2.895
1.594,2.715
1.611,2.517
1.628,2.360
1.645,2.175
1.661,1.932
1.678,1.634
1.695,1.413
1.712,1.321
1.729,1.159
1.746,1.021
1.763,0.697
1.779,0.442
1.796,0.523
1.813,0.627
1.830,0.688
1.847,0.739
1.864,0.932
1.880,1.106
1.897,1.201
1.914,1.197
1.931,1.262
1.948,1.420
1.965,1.554
1.981,1.387
1.998,1.106
2.015,0.931
2.032,0.892
2.049,0.988
2.066,1.094
2.082,1.197
2.099,1.253
2.116,1.149
2.133,0.899
2.150,0.664
2.167,0.591
2.184,0.587
